Name,BACL,BBYS,BCAL,BCIN,BCON,BDEW,BELL,BGAL,BGLO,BHYA,BNAR,BPAE,BPOR,BSIN,BSQU,BTUL,SCEP
OG0001116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001129,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001210,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001302,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001309,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001311,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001341,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
